City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Port Shepstone,ZA,77.41,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
553,Amarpur,IN,78.15,overcast clouds,25.0333,86.9,Amit kirana store
560,Thinadhoo,MV,82.11,few clouds,0.5333,72.9333,
561,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
566,Bahia Blanca,AR,77.72,broken clouds,-38.7196,-62.2724,Hotel Argos
568,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
569,Kasongo-Lunda,CD,79.07,overcast clouds,-6.4667,16.8167,
577,Porto Velho,BR,75.25,light rain,-8.7619,-63.9039,Hotel Central
584,Tabuk,PH,79.09,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
590,Plettenberg Bay,ZA,81.73,clear sky,-34.0527,23.3716,Thanda Vista B&B
597,Katobu,ID,83.7,overcast clouds,-4.9408,122.5276,La Ode Husein
599,Poum,NC,82.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
601,Chiredzi,ZW,80.26,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
603,Itarema,BR,75.56,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
604,Finschhafen,PG,81.1,overcast clouds,-6.6024,147.8681,Cossam Guest House
608,Mbuji-Mayi,CD,80.58,overcast clouds,-6.15,23.6,GKT Hotel
616,Ler,SS,88.88,overcast clouds,8.3018,30.1418,
623,Sijunjung,ID,85.93,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
631,Samarinda,ID,83.71,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
641,Namatanai,PG,81.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
646,Ocos,GT,75.99,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
647,Ambatondrazaka,MG,75.09,overcast clouds,-17.8333,48.4167,MANAMBINA Hotel
648,Ambon,ID,86.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
649,Tutoia,BR,75.96,heavy intensity rain,-2.7619,-42.2744,Pousada Guará's
659,Anloga,GH,80.82,light rain,5.7947,0.8973,Pin Drop Hotel
662,San Juan,AR,81.21,few clouds,-31.5375,-68.5364,Hotel Provincial
666,Boyolangu,ID,84.04,overcast clouds,-8.1181,111.8935,Yos ega cv
667,Teknaf,BD,79.97,clear sky,20.8624,92.3058,Forestry Guesthouse
670,Kendari,ID,85.05,broken clouds,-3.945,122.4989,Hotel Wixel
672,Teseney,ER,86.34,broken clouds,15.11,36.6575,Sabrin Hotel
675,Payakumbuh,ID,80.22,broken clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
678,Bumba,CD,87.51,overcast clouds,2.1833,22.4667,Père Carlos
679,Kinablangan,PH,80.73,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
680,Tagusao,PH,82.13,scattered clouds,9.1924,117.8141,Toledo
682,Dubbo,AU,86.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
692,Mecca,SA,81.68,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
695,Birao,CF,88.61,clear sky,10.2849,22.7882,
697,Salinopolis,BR,76.78,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
701,Saint-Joseph,RE,84.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
