City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Nikolskoye,RU,2022-01-07 17:24:51,59.7035,30.7861,8.49,93,88,7.65
117,Kavaratti,IN,2022-01-07 17:24:51,10.5669,72.642,80.26,67,2,4.9
118,Uyemskiy,RU,2022-01-07 17:24:52,64.4743,40.8524,3.25,91,75,2.24
119,Ziro,IN,2022-01-07 17:24:52,27.6333,93.8333,38.01,79,30,2.26
120,Ahvaz,IR,2022-01-07 17:23:03,31.3203,48.6693,49.95,81,27,0.0
121,Kabalo,CD,2022-01-07 17:24:53,-6.05,26.9167,74.25,91,55,3.09
122,Airai,TL,2022-01-07 17:24:53,-8.9266,125.4092,60.58,93,95,2.21
123,Tilichiki,RU,2022-01-07 17:24:53,60.4667,166.1,16.65,82,100,8.97
124,Bluff,NZ,2022-01-07 17:24:54,-46.6,168.3333,49.75,92,87,6.13
125,Pangody,RU,2022-01-07 17:24:54,65.85,74.4859,3.85,95,100,23.31
126,Chapais,CA,2022-01-07 17:24:55,49.7834,-74.8492,-1.25,79,100,6.49
127,Dikson,RU,2022-01-07 17:24:55,73.5069,80.5464,-5.96,90,83,18.92
128,Ahipara,NZ,2022-01-07 17:24:55,-35.1667,173.1667,63.16,92,24,6.69
129,Ribeira Grande,PT,2022-01-07 17:24:56,38.5167,-28.7,63.0,55,40,5.75
130,Mahebourg,MU,2022-01-07 17:24:56,-20.4081,57.7,78.26,94,75,4.61
131,Botwood,CA,2022-01-07 17:24:56,49.1499,-55.3482,25.9,56,100,2.01
132,Avera,US,2022-01-07 17:24:57,33.194,-82.5271,47.7,38,28,10.07
133,East London,ZA,2022-01-07 17:20:50,-33.0153,27.9116,70.74,94,100,9.22
134,Harer,ET,2022-01-07 17:24:57,9.3094,42.1258,63.45,68,43,7.29
135,Chokurdakh,RU,2022-01-07 17:24:58,70.6333,147.9167,-12.1,95,92,3.15
