City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Nanakuli,US,21.3906,-158.1547,73.35,83,75,4.61,broken clouds
247,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.14,96,100,8.9,light rain
248,Pangai,TO,-19.8,-174.35,75.16,88,100,11.59,moderate rain
249,Balkhash,KZ,46.844,74.9804,29.01,93,100,6.71,overcast clouds
250,Almeirim,BR,-1.5233,-52.5817,72.18,96,100,2.28,moderate rain
251,Faanui,PF,-16.4833,-151.75,81.27,75,20,5.95,few clouds
252,Thanatpin,MM,17.2119,96.3033,91.58,30,7,1.21,clear sky
253,Nouakchott,MR,18.0858,-15.9785,69.73,28,97,14.23,overcast clouds
254,Pozo Colorado,PY,-23.4923,-58.7972,74.61,77,0,5.14,clear sky
255,Salamiyah,SY,35.0113,37.0532,58.15,47,90,7.54,overcast clouds
256,Goderich,CA,43.7501,-81.7165,34.92,100,100,19.57,overcast clouds
257,Airai,TL,-8.9266,125.4092,67.51,85,95,1.88,moderate rain
258,Dingle,PH,10.9995,122.6711,82.69,76,40,8.57,scattered clouds
259,Saint-Pierre,RE,-21.3393,55.4781,86.18,73,0,6.91,clear sky
260,Talaya,RU,61.3833,152.75,-1.14,98,100,1.59,overcast clouds
261,Puerto Penasco,MX,31.3167,-113.5333,62.06,73,100,3.8,overcast clouds
262,Jaleswar,NP,26.6471,85.8008,77.95,38,57,8.28,broken clouds
263,Biak,ID,-0.9131,122.8766,82.02,72,66,1.63,broken clouds
264,Brae,GB,60.3964,-1.353,42.71,90,100,16.33,overcast clouds
265,Georgetown,MY,5.4112,100.3354,89.55,64,40,1.99,scattered clouds
266,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,3.44,broken clouds
267,Ardakan,IR,32.31,54.0175,53.98,22,0,0.83,clear sky
268,Kulhudhuffushi,MV,6.6221,73.07,80.98,72,7,10.96,clear sky
269,Marsaxlokk,MT,35.8419,14.5431,55.08,76,20,17.27,few clouds
270,Jackson,US,42.4165,-122.8345,41.04,93,0,3.44,clear sky
271,Mayumba,GA,-3.432,10.6554,78.71,89,99,4.18,light rain
272,Coquimbo,CL,-29.9533,-71.3436,60.53,82,100,3.44,overcast clouds
273,Broken Hill,AU,-31.95,141.4333,92.91,13,0,9.22,clear sky
274,Ulladulla,AU,-35.35,150.4667,74.3,78,80,6.22,broken clouds
275,Lamar,US,33.6668,-95.5836,67.66,100,100,10.36,overcast clouds
276,Gusinoye Ozero,RU,51.1144,106.2614,0.39,97,77,1.72,broken clouds
277,Boca Do Acre,BR,-8.7522,-67.3978,72.03,100,100,2.59,overcast clouds
278,Nichlaul,IN,27.3167,83.7333,77.04,39,46,5.75,light rain
279,Bathsheba,BB,13.2167,-59.5167,72.21,88,75,10.36,broken clouds
280,Kumluca,TR,36.3703,30.2869,54.68,73,99,4.76,overcast clouds
281,Tabou,CI,4.423,-7.3528,79.27,80,44,2.1,scattered clouds
282,Amahai,ID,-3.3333,128.9167,84.76,71,84,1.23,broken clouds
283,Kingaroy,AU,-26.5333,151.8333,78.84,73,75,6.91,broken clouds
284,Teguldet,RU,57.3064,88.1667,31.1,96,100,11.23,light snow
285,Inhambane,MZ,-23.865,35.3833,84.18,70,40,5.75,scattered clouds
286,Abu Samrah,SY,35.3029,37.1841,56.62,51,100,3.53,overcast clouds
287,Tilichiki,RU,60.4667,166.1,-0.89,87,99,8.95,overcast clouds
288,Beni,CD,0.5,29.4667,83.48,44,65,2.19,broken clouds
289,Dubuque,US,42.4833,-90.8668,31.12,77,100,20.71,overcast clouds
290,Bundaberg,AU,-24.85,152.35,80.89,78,75,14.97,broken clouds
291,Valparaiso,CL,-33.0393,-71.6273,64.47,84,100,4.61,overcast clouds
292,Olafsvik,IS,64.8945,-23.7142,35.82,71,50,12.01,scattered clouds
293,Sobolevo,RU,54.4299,31.8996,23.43,96,100,9.51,snow
294,Christchurch,NZ,-43.5333,172.6333,75.4,42,99,2.3,light rain
295,Sassandra,CI,4.95,-6.0833,79.39,83,41,3.6,scattered clouds
296,Formosa Do Rio Preto,BR,-11.0483,-45.1931,68.34,97,100,2.08,overcast clouds
297,Starokostyantyniv,UA,49.7576,27.2034,31.12,99,100,7.4,snow
298,Atlantic City,US,39.3643,-74.4229,34.99,79,0,0.0,clear sky
299,Auch,FR,43.65,0.5833,49.24,89,100,7.0,overcast clouds
300,The Valley,AI,18.217,-63.0578,78.1,70,3,23.85,clear sky
301,Storsteinnes,NO,69.2408,19.2344,21.38,97,26,4.94,scattered clouds
302,Bandar-E Anzali,IR,37.4727,49.4622,51.91,70,65,2.82,broken clouds
303,Nata,PA,8.3333,-80.5167,76.46,87,0,6.71,clear sky
304,Varna,BG,43.2167,27.9167,48.24,100,100,3.44,overcast clouds
305,Polunochnoye,RU,60.8697,60.4153,7.2,74,9,11.18,clear sky
306,Majene,ID,-3.5403,118.9707,86.13,66,95,10.38,overcast clouds
307,Altay,CN,47.8667,88.1167,21.94,73,4,2.53,clear sky
308,Yar-Sale,RU,66.8333,70.8333,-6.0,99,100,5.5,overcast clouds
309,Pangkalanbuun,ID,-2.6833,111.6167,84.52,73,90,4.61,overcast clouds
310,Beian,NO,63.6559,9.5683,32.09,64,0,23.02,clear sky
311,Quatre Cocos,MU,-20.2078,57.7625,84.09,68,70,8.19,broken clouds
312,Pokhara,NP,28.2333,83.9833,70.56,38,0,5.48,clear sky
313,Nha Trang,VN,12.25,109.1833,82.4,74,56,10.25,broken clouds
314,Honiara,SB,-9.4333,159.95,80.51,84,69,7.74,broken clouds
315,Olinda,BR,-8.0089,-34.8553,76.73,88,40,2.3,scattered clouds
316,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,29,20,10.0,few clouds
317,Ormara,PK,25.2088,64.6357,66.06,33,0,6.17,clear sky
318,Krasnoselkup,RU,65.7,82.4667,0.07,97,97,6.62,overcast clouds
319,Tual,ID,-5.6667,132.75,79.41,79,100,7.81,light rain
320,Merrill,US,45.1805,-89.6835,24.57,86,100,8.05,overcast clouds
321,Kununurra,AU,-15.7667,128.7333,94.98,49,40,20.71,heavy intensity rain
322,Faya,SA,18.3851,42.4509,62.71,45,6,1.43,clear sky
323,Terra Nova,BR,-12.3667,-40.6667,66.4,99,99,1.95,overcast clouds
324,Tahoua,NE,14.8888,5.2692,64.38,15,0,16.11,clear sky
325,Leningradskiy,RU,69.3833,178.4167,-13.4,94,92,11.34,overcast clouds
326,Soufriere,LC,13.8562,-61.0566,76.6,78,20,5.99,few clouds
